year,state,month,number,day
2008,Alagoas,6,0,1
2009,Alagoas,6,0,1
2010,Alagoas,6,0,1
2011,Alagoas,6,2,1
2012,Alagoas,6,4,1
2013,Alagoas,6,1,1
2014,Alagoas,6,2,1
2015,Alagoas,6,2,1
2016,Alagoas,6,5,1
2017,Alagoas,6,2,1
1998,Alagoas,7,0,1
1999,Alagoas,7,0,1
2000,Alagoas,7,0,1
2001,Alagoas,7,0,1
2002,Alagoas,7,5,1
2003,Alagoas,7,0,1
2004,Alagoas,7,0,1
2005,Alagoas,7,0,1
2006,Alagoas,7,0,1
2007,Alagoas,7,0,1
2008,Alagoas,7,0,1
2009,Alagoas,7,0,1
2010,Alagoas,7,2,1
2011,Alagoas,7,0,1
2012,Alagoas,7,0,1
2013,Alagoas,7,0,1
2014,Alagoas,7,1,1
2015,Alagoas,7,0,1
2016,Alagoas,7,3,1
2017,Alagoas,7,0,1
1998,Alagoas,8,1,1
1999,Alagoas,8,3,1
2000,Alagoas,8,4,1
2001,Alagoas,8,1,1
2002,Alagoas,8,3,1
2003,Alagoas,8,2,1
2004,Alagoas,8,2,1
2005,Alagoas,8,2,1
2006,Alagoas,8,1,1
2007,Alagoas,8,3,1
2008,Alagoas,8,1,1
2009,Alagoas,8,0,1
2010,Alagoas,8,1,1
2011,Alagoas,8,4,1
2012,Alagoas,8,0,1
2013,Alagoas,8,0,1
2014,Alagoas,8,3,1
2015,Alagoas,8,3,1
2016,Alagoas,8,5,1
2017,Alagoas,8,1,1
1998,Alagoas,9,14,1
1999,Alagoas,9,3,1
2000,Alagoas,9,22,1
2001,Alagoas,9,5,1
2002,Alagoas,9,14,1
2003,Alagoas,9,8,1
2004,Alagoas,9,5,1
2005,Alagoas,9,7,1
2006,Alagoas,9,4,1
2007,Alagoas,9,2,1
2008,Alagoas,9,9,1
2009,Alagoas,9,13,1
2010,Alagoas,9,5,1
2011,Alagoas,9,5,1
2012,Alagoas,9,6,1
2013,Alagoas,9,4,1
2014,Alagoas,9,11,1
2015,Alagoas,9,7,1
2016,Alagoas,9,18,1
2017,Alagoas,9,4,1
1998,Alagoas,10,20,1
1999,Alagoas,10,4,1
2000,Alagoas,10,13,1
2001,Alagoas,10,15,1
2002,Alagoas,10,30,1
2003,Alagoas,10,10,1
2004,Alagoas,10,12,1
2005,Alagoas,10,17,1
2006,Alagoas,10,32,1
2007,Alagoas,10,6,1
2008,Alagoas,10,18,1
2009,Alagoas,10,30,1
2010,Alagoas,10,16,1
2011,Alagoas,10,23,1
2012,Alagoas,10,28,1
