state,month,incidents,year,region,Amazonia,Cerrado,Caatinga,Pantanal,Mata Atlantica,Pampa,latitude_mean,longitude_mean,la nina,el nino
mato grosso,1,317,2018,centro-oeste,1.0,1.0,0.0,1.0,0.0,0.0,-12.258671195652179,-55.83309743788786,0,1
mato grosso,2,266,2018,centro-oeste,1.0,1.0,0.0,1.0,0.0,0.0,-12.258671195652179,-55.83309743788786,0,1
mato grosso,4,426,2018,centro-oeste,1.0,1.0,0.0,1.0,0.0,0.0,-12.258671195652179,-55.83309743788786,0,1
mato grosso,5,985,2018,centro-oeste,1.0,1.0,0.0,1.0,0.0,0.0,-12.258671195652179,-55.83309743788786,0,1
mato grosso,6,1623,2018,centro-oeste,1.0,1.0,0.0,1.0,0.0,0.0,-12.258671195652179,-55.83309743788786,0,1
mato grosso,7,1816,2018,centro-oeste,1.0,1.0,0.0,1.0,0.0,0.0,-12.258671195652179,-55.83309743788786,0,1
mato grosso,8,2650,2018,centro-oeste,1.0,1.0,0.0,1.0,0.0,0.0,-12.258671195652179,-55.83309743788786,0,1
mato grosso,9,6638,2018,centro-oeste,1.0,1.0,0.0,1.0,0.0,0.0,-12.258671195652179,-55.83309743788786,0,1
mato grosso,10,1711,2018,centro-oeste,1.0,1.0,0.0,1.0,0.0,0.0,-12.258671195652179,-55.83309743788786,0,1
mato grosso,11,363,2018,centro-oeste,1.0,1.0,0.0,1.0,0.0,0.0,-12.258671195652179,-55.83309743788786,0,1
mato grosso,3,766,2018,centro-oeste,1.0,1.0,0.0,1.0,0.0,0.0,-12.258671195652179,-55.83309743788786,0,1
mato grosso,12,471,2018,centro-oeste,1.0,1.0,0.0,1.0,0.0,0.0,-12.258671195652179,-55.83309743788786,0,1
rio grande do norte,1,23,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-5.656081140350882,-36.93262061403506,0,1
rio grande do norte,2,6,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-5.656081140350882,-36.93262061403506,0,1
rio grande do norte,4,3,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-5.656081140350882,-36.93262061403506,0,1
rio grande do norte,5,1,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-5.656081140350882,-36.93262061403506,0,1
